,index,이름,제조회사,모델명,세부모델,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지,신차가격
0,0,쌍용 티볼리 LX 2WD 세부등급 없음,쌍용,티볼리,티볼리,1360,1597,2017,진주색,40007,자동,휘발유,SUV,0,전륜,1,0,국산차,2050
1,1,기아 올 뉴 모닝 럭셔리,기아,모닝,올 뉴 모닝 (11~15년),670,998,2012,진주색,48280,자동,휘발유,경차,0,전륜,0,0,국산차,1300
2,2,쉐보레(GM대우) 알페온 EL300 슈프림,쉐보레,알페온,알페온,900,2997,2012,은색,69377,자동,휘발유,대형차,0,전륜,0,0,국산차,3600
3,3,쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스,쌍용,렉스턴,렉스턴 스포츠 칸,2420,2157,2019,쥐색,41820,자동,경유,SUV,0,4륜,0,0,국산차,3250
4,4,쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,더 뉴 말리부,2240,1341,2021,검정색,29856,자동,휘발유,중형차,0,전륜,0,0,국산차,3150
5,5,현대 그랜드 스타렉스 5인승 밴 모던,현대,스타렉스,그랜드 스타렉스,1690,2497,2018,은색,103491,자동,경유,승합차,0,전륜,0,0,국산차,2600
6,6,제네시스 G90 가솔린 4WD 5.0 프레스티지,제네시스,제네시스,G90,6800,5038,2019,검정색,76453,자동,휘발유,대형차,0,4륜,0,0,국산차,10737
7,7,르노삼성 SM3 네오 SE 플러스,르노삼성,SM3,SM3 네오,620,1598,2015,쥐색,93181,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000
8,8,BMW 5시리즈 (F10) 520d xDrive M 에어로 다이나믹,BMW,5시리즈,5시리즈 6세대 (10~16년),2620,1995,2016,흰색,116143,자동,경유,중형차,0,4륜,0,0,외제차,7500
9,9,지프 레니게이드 2.4 리미티드,지프,레니게이드,레니게이드,2690,2360,2019,쥐색,22198,자동,휘발유,SUV,0,전륜,0,0,외제차,4090
10,10,쌍용 티볼리 에어 가솔린 1.6 RX 2WD,쌍용,티볼리,티볼리 에어,1580,1597,2017,흰색,45533,자동,휘발유,SUV,0,전륜,0,0,국산차,2250
11,11,쉐보레(GM대우) 크루즈 1.8 LTZ+,쉐보레,크루즈,크루즈,670,1796,2014,검정색,54516,자동,휘발유,준중형차,0,전륜,1,0,국산차,2100
12,12,현대 아반떼 MD M16 GDI 스마트,현대,아반떼,아반떼MD,710,1591,2014,흰색,87805,자동,휘발유,준중형차,0,전륜,1,0,국산차,1700
13,13,르노삼성 캡처 가솔린 1.3 에디션 파리,르노삼성,캡처,캡처,2090,1332,2020,흰색,40819,자동,휘발유,SUV,0,전륜,0,0,국산차,2800
14,14,현대 쏘나타 뉴 라이즈 LPI 스타일,현대,쏘나타,쏘나타 뉴 라이즈,1520,1999,2019,흰색,57424,자동,LPG,중형차,0,전륜,0,0,국산차,2600
15,15,기아 K3 트렌디,기아,K3,K3 (12~15년),790,1591,2014,은색,80545,자동,휘발유,준중형차,0,전륜,1,0,국산차,2000
16,16,쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,쉐보레,트랙스,더 뉴 트랙스,1650,1362,2019,흰색,27164,자동,휘발유,SUV,0,전륜,0,0,국산차,2000
17,17,기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,기아,프라이드,올 뉴 프라이드 (11~15년),690,1591,2012,흰색,74199,자동,휘발유,소형차,0,전륜,0,0,국산차,1600
18,18,쌍용 티볼리 아머 LX 2WD,쌍용,티볼리,티볼리 아머,1550,1597,2018,흰색,41223,자동,휘발유,SUV,0,전륜,0,0,국산차,2250
19,19,르노삼성 SM7 노바 LE,르노삼성,SM7,SM7 노바,1180,2495,2015,쥐색,69961,자동,휘발유,대형차,0,전륜,0,0,국산차,3300
20,20,기아 더 뉴 K5 2세대 2.0 노블레스,기아,K5,더 뉴 K5 (18~20년),1850,1999,2019,검정색,73769,자동,휘발유,중형차,0,전륜,0,0,국산차,2700
21,21,BMW 5시리즈 (F10) 528i,BMW,5시리즈,5시리즈 6세대 (10~16년),2860,1997,2015,은색,37256,자동,휘발유,중형차,0,후륜,0,0,외제차,7500
22,22,제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,제네시스,제네시스,G80,3200,3342,2017,쥐색,64142,자동,휘발유,대형차,0,4륜,0,0,국산차,6117
23,23,기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,더 뉴 쏘렌토 (17~20년),2390,2199,2018,은색,83200,자동,경유,SUV,0,4륜,0,0,국산차,3200
24,24,기아 스포티지 더 볼드 디젤 2.0 2WD 프레스티지,기아,스포티지,스포티지 더 볼드 (18년~현재),1650,1995,2019,쥐색,121821,자동,경유,SUV,0,전륜,0,0,국산차,3000
25,25,쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,더 뉴 말리부,1850,1341,2019,흰색,40984,자동,휘발유,중형차,0,전륜,0,0,국산차,3150
26,26,기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스,기아,쏘렌토,더 뉴 쏘렌토 (17~20년),2230,2199,2018,흰색,77020,자동,경유,SUV,0,4륜,1,0,국산차,3200
27,27,BMW 5시리즈 (G30) 520i M 스포츠,BMW,5시리즈,5시리즈 7세대 (17년~현재),5790,1998,2021,흰색,18137,자동,휘발유,중형차,0,후륜,0,0,외제차,8000
28,28,현대 싼타페 더 프라임 디젤 2.2 2WD 프리미엄,현대,싼타페,싼타페 더 프라임,1960,2199,2016,쥐색,53218,자동,경유,SUV,0,전륜,0,0,국산차,3400
29,29,폭스바겐 더 파사트 2.0 TSI,폭스바겐,파사트,파사트 7세대,1990,1984,2018,흰색,52262,자동,휘발유,준중형차,0,전륜,0,0,외제차,3613
30,30,기아 올 뉴 카니발 9인승 프레스티지,기아,카니발,올 뉴 카니발 (14~18년),1830,2199,2016,자주색,76468,자동,경유,SUV,0,전륜,1,0,국산차,3600
31,31,르노삼성 뉴SM3 LE 플러스,르노삼성,SM3,뉴 SM3,510,1598,2010,은색,57566,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000
32,32,미니 쿠퍼 (3세대) HIGH,미니,쿠퍼,쿠퍼 3세대,2510,1499,2019,진주색,72347,자동,휘발유,소형차,0,전륜,0,0,외제차,4930
33,33,기아 카니발 R 그랜드 카니발 President,기아,카니발,뉴 카니발 R (10~14년),1080,2199,2011,흰색,54152,자동,경유,SUV,0,전륜,0,0,국산차,3500
34,34,현대 그랜저 IG 2.2 디젤 프리미엄 스페셜,현대,그랜저,그랜저IG,2280,2199,2018,쥐색,81739,자동,경유,대형차,0,전륜,0,0,국산차,3300
35,35,현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (8인승),현대,팰리세이드,펠리세이드,3920,3778,2019,쥐색,17134,자동,휘발유,SUV,0,4륜,0,0,국산차,4400
36,36,르노삼성 뉴QM3 RE 세부등급 없음,르노삼성,QM3,뉴 QM3,1460,1461,2018,흰색,52587,자동,경유,SUV,0,전륜,0,0,국산차,2500
37,37,아우디 A7 50 TDI 콰트로 프리미엄 4G,아우디,A7,A7 1세대,3860,2967,2016,쥐색,83165,자동,경유,대형차,0,4륜,0,0,외제차,9000
38,38,쌍용 렉스턴 스포츠 디젤 2.2 4WD 다이나믹 에디션,쌍용,렉스턴,더 뉴 렉스턴 스포츠,2750,2157,2021,빨간색,36094,자동,경유,SUV,0,4륜,0,0,국산차,3300
39,39,현대 에쿠스(신형) VS380 익스클루시브,현대,에쿠스,뉴 에쿠스,2230,3778,2013,검정색,108667,자동,휘발유,대형차,0,후륜,0,0,국산차,8000
40,40,르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,르노삼성,XM3,XM3,2300,1332,2020,진주색,18217,자동,휘발유,SUV,0,전륜,0,0,국산차,2300
41,41,제네시스 G70 2.0T 엘리트,제네시스,제네시스,G70,3250,1998,2019,은색,15400,자동,휘발유,중형차,0,4륜,0,0,국산차,4400
42,42,현대 그랜저 IG 3.0 익스클루시브 스페셜,현대,그랜저,그랜저IG,2330,2999,2018,흰색,88468,자동,휘발유,대형차,0,전륜,0,0,국산차,3300
43,43,기아 더 뉴 K5 2세대 2.0 노블레스,기아,K5,더 뉴 K5 (18~20년),1980,1999,2019,검정색,36617,자동,휘발유,중형차,0,전륜,0,0,국산차,2700
44,44,쉐보레(GM대우) 트랙스 1.4 LT 래더패키지,쉐보레,트랙스,트랙스,1050,1362,2015,빨간색,58757,자동,휘발유,SUV,0,전륜,0,0,국산차,2000
45,45,르노삼성 All New SM7 RE 기본형,르노삼성,SM7,올 뉴 SM7,1050,2495,2014,흰색,76981,자동,휘발유,대형차,0,전륜,0,0,국산차,3300
46,46,르노삼성 QM6 디젤 2WD RE 시그니처,르노삼성,QM6,QM6,1700,1995,2017,쥐색,104543,자동,경유,SUV,0,전륜,0,0,국산차,3000
47,47,기아 올 뉴 카니발 9인승 노블레스,기아,카니발,올 뉴 카니발 (14~18년),2330,2199,2018,쥐색,64740,자동,경유,SUV,0,전륜,0,0,국산차,3600
48,48,쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,쉐보레,트랙스,더 뉴 트랙스,1500,1362,2019,흰색,24618,자동,휘발유,SUV,0,전륜,1,0,국산차,2000
49,49,쉐보레(GM대우) 이쿼녹스 2WD LT 플러스 익스클루시브,쉐보레,이쿼녹스,이쿼녹스,2390,1598,2019,흰색,31342,자동,경유,SUV,0,전륜,0,0,국산차,3500
50,50,벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,벤츠,E클래스,E클래스 10세대,5150,1991,2018,검정색,62517,자동,휘발유,중형차,0,4륜,1,0,외제차,8920
51,51,현대 LF 쏘나타 2.0 스마트 세부등급 없음,현대,쏘나타,LF쏘나타,1380,1999,2015,검정색,77587,자동,휘발유,중형차,0,전륜,0,0,국산차,2600
52,52,기아 더 뉴 카니발 9인승 하이리무진 프레스티지,기아,카니발,더 뉴 카니발 (18~20년),3250,2199,2019,진주색,134747,자동,경유,SUV,0,전륜,0,0,국산차,3860
53,53,제네시스 G80 3.3 GDI 프리미엄 럭셔리,제네시스,제네시스,G80,3750,3342,2019,검정색,57641,자동,휘발유,대형차,0,후륜,0,0,국산차,6117
54,54,현대 더 뉴 코나 가솔린 터보 1.6 (N라인) 4WD 인스퍼레이션,현대,코나,더 뉴 코나,2890,1598,2021,빨간색,2601,자동,휘발유,SUV,0,4륜,0,0,국산차,2600
55,55,기아 더 뉴 K5 터보 GDI 프레스티지,기아,K5,더 뉴 K5 (13~15년),1390,1998,2015,진주색,92076,자동,휘발유,중형차,0,전륜,0,0,국산차,2500
56,56,BMW 6시리즈 GT (G32) 620d 럭셔리,BMW,6시리즈,6시리즈 4세대 (18~현재),5930,1995,2019,쥐색,26934,자동,경유,대형차,0,후륜,0,0,외제차,8150
57,57,제네시스 G80 3.3 GDI AWD 프레스티지,제네시스,제네시스,G80,4060,3342,2019,쥐색,55521,자동,휘발유,대형차,0,4륜,0,0,국산차,6117
58,58,현대 포터2 CRDi 카고 초장축 더블캡  프리미엄,현대,포터,포터2,2030,2497,2019,흰색,19802,자동,경유,화물차,0,후륜,0,0,국산차,2100
59,59,현대 팰리세이드 가솔린 3.8 2WD  캘리그래피 (7인승),현대,팰리세이드,펠리세이드,4120,3778,2021,검정색,42369,자동,휘발유,SUV,0,전륜,0,0,국산차,4400
60,60,기아 더 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,기아,쏘렌토,더 뉴 쏘렌토 (17~20년),2990,2199,2018,진주색,30474,자동,경유,SUV,0,4륜,0,0,국산차,3200
61,61,쌍용 G4 렉스턴 디젤 2.2 4WD 화이트 에디션,쌍용,렉스턴,G4 렉스턴,3250,2157,2020,검정색,9406,자동,경유,SUV,0,4륜,0,0,국산차,4000
62,62,BMW 5시리즈 (F10) 520d M 에어로 다이나믹,BMW,5시리즈,5시리즈 6세대 (10~16년),2700,1995,2016,흰색,89675,자동,경유,중형차,0,후륜,0,0,외제차,7500
63,63,폭스바겐 티구안 2세대 2.0 TDI 프리미엄,폭스바겐,티구안,티구안 2세대,3170,1968,2020,흰색,16687,자동,경유,SUV,0,전륜,0,0,외제차,4300
64,64,르노코리아(삼성) SM6 2.0 GDe RE,르노삼성,SM6,SM6,1520,1997,2016,흰색,63642,자동,휘발유,중형차,0,전륜,0,0,국산차,3000
65,65,기아 더 뉴 카니발 9인승 노블레스 스페셜,기아,카니발,더 뉴 카니발 (18~20년),2960,2199,2019,쥐색,68702,자동,경유,SUV,0,전륜,0,0,국산차,3860
66,66,쌍용 G4 렉스턴 디젤 2.2 4WD 화이트 에디션,쌍용,렉스턴,G4 렉스턴,3050,2157,2020,흰색,36729,자동,경유,SUV,0,4륜,0,0,국산차,4000
67,67,BMW X1 (F48) xDrive 20i xLine,BMW,X1,X1 2세대 (16년~현재),4180,1998,2021,검정색,4979,자동,휘발유,SUV,0,4륜,0,0,외제차,5000
68,68,현대 쏘나타 DN8 2.0 가솔린 프리미엄,현대,쏘나타,쏘나타 DN8,2250,1999,2020,검정색,44835,자동,휘발유,중형차,0,전륜,0,0,국산차,2600
69,69,기아 올 뉴 카니발 9인승 럭셔리,기아,카니발,올 뉴 카니발 (14~18년),2120,2199,2018,검정색,73929,자동,경유,SUV,0,전륜,0,0,국산차,3600
70,70,기아 더 뉴 니로 노블레스 스폐셜,기아,니로,더 뉴 니로 (19년~현재),2820,1580,2020,진주색,43477,자동,하이브리드,SUV,0,전륜,0,0,국산차,3200
